cohort,method,k,sens_median,sens_p2.5,sens_p97.5,spec_median,spec_p2.5,spec_p97.5,recovery_median,recovery_p2.5,recovery_p97.5,frac_degenerate,frac_fit_failed
busi,M2a,30,0.92,0.8546780821917809,0.9667825607064018,0.7543844221105528,0.5904318181818182,0.885,0.6578947368421051,-0.21666666666666695,1.3919590643274853,0.0,0.01
busi,M2a,50,0.9214285714285714,0.8591549295774648,0.9644186930091185,0.7513513513513513,0.631838014725934,0.8709677419354839,0.6666666666666665,0.0,1.2715601965601966,0.0,0.004
busi,M2a,100,0.923728813559322,0.865829087540528,0.9625667228543333,0.7477229601518027,0.6707676867141342,0.8184801136363636,0.6071428571428569,0.1519965277777778,1.0358237547892721,0.0,0.0
busi,M2b,10,0.9299363057324841,0.3768439440993789,0.9970312499999998,0.715633423180593,0.22301955529964135,0.9951923076923077,0.45000000000000007,-2.11837085678549,1.9230769230769234,0.006,0.204
busi,M2b,20,0.9013157894736842,0.5862168874172186,0.9936305732484076,0.8048613369257211,0.27580081537565526,0.9710876532887402,0.9444444444444445,-1.9200391180654341,1.7975641025641023,0.0,0.054
busi,M2b,30,0.8833392634762498,0.6575733535688006,0.9931506849315068,0.8263016600167479,0.29743589743589743,0.9650078751968799,1.0512820512820515,-1.7105263157894737,1.7923076923076924,0.0,0.01
busi,M2b,50,0.8943661971830986,0.7147237514258792,0.9854014598540146,0.8179450757575758,0.47962497796580295,0.9612239103744629,1.0,-0.7648484848484851,1.7825802364864862,0.0,0.004
busi,M2b,100,0.9037543859649123,0.7710344827586207,0.9707393662574935,0.8018755935422602,0.6265297535564015,0.9442805383022774,0.9032258064516128,0.03276881720430116,1.6007812499999998,0.0,0.0
busi,M3,10,0.8427672955974843,0.29495949074074074,0.9937106918238994,0.9,0.27656117247238743,0.9952043844313581,1.4249999999999998,-1.8717948717948716,1.9473684210526312,0.006,0.0
busi,M3,20,0.8885233918128654,0.5862168874172186,0.9936305732484076,0.8235294117647058,0.27580081537565526,0.9710876532887402,1.0378205128205127,-1.9200391180654341,1.8134246088193462,0.0,0.0
busi,M3,30,0.8791946308724832,0.6575733535688006,0.9931506849315068,0.83,0.29743589743589743,0.9650078751968799,1.0526315789473686,-1.7105263157894737,1.7923076923076924,0.0,0.0
busi,M3,50,0.8943661971830986,0.7147237514258792,0.9854014598540146,0.8181818181818182,0.47962497796580295,0.9612239103744629,1.0,-0.7648484848484851,1.7837837837837835,0.0,0.0
busi,M3,100,0.9037543859649123,0.7710344827586207,0.9707393662574935,0.8018755935422602,0.6265297535564015,0.9442805383022774,0.9032258064516128,0.03276881720430116,1.6007812499999998,0.0,0.0
gdph,M1,10,0.8664000349680916,0.2895855129322871,0.9946098517872711,0.8265525728039551,0.1736111111111111,0.9929992320763349,1.162356621480709,-0.8792936882782313,1.6811594202898552,0.0,0.0
gdph,M1,20,0.8879773058116531,0.5981789450741064,0.9945433361623561,0.7981109140990041,0.17652122641509435,0.956991755261445,1.074074074074074,-0.870082918739635,1.573529411764706,0.0,0.0
gdph,M1,30,0.8865817263544535,0.6422346850733391,0.9890281353023529,0.7997613365155132,0.213379917184265,0.9521585595485426,1.0783347257031468,-0.734587542087542,1.5601763907734056,0.0,0.0
gdph,M1,50,0.8969904375163741,0.7459100566572238,0.9829314782439782,0.7792653979094657,0.3397405996296824,0.9092078877005347,1.0223076072534276,-0.34250000000000014,1.4053334672559261,0.0,0.0
gdph,M1,100,0.8957045401082098,0.7801097531751737,0.9693251533742331,0.7812916666666667,0.5278448548812665,0.8876361299369011,1.0241935483870968,0.2312769010043042,1.3362258953168042,0.0,0.0
gdph,M1,200,0.9028776978417267,0.8220514087361913,0.9575971731448764,0.7713414634146342,0.6435807617458994,0.8503434249133102,0.9818166790643856,0.5983473389355742,1.2361068111455107,0.0,0.0
gdph,M2a,10,0.9514824797843666,0.8594594594594595,0.9946167724545691,0.5897435897435898,0.13639018691588786,0.8308322860273266,0.422393117831074,-0.993014705882353,1.1798561151079139,0.0,0.204
gdph,M2a,20,0.9426229508196722,0.896457765667575,0.9795779300768214,0.6494117647058824,0.3431067715431642,0.7763716129899818,0.609494884910486,-0.3479703828178334,1.0110758489368452,0.0,0.072
gdph,M2a,30,0.9410938532716457,0.9006826172320899,0.9776266783512253,0.6567337197408796,0.3946424479530529,0.7675104974614718,0.6292087542087541,-0.178801703163017,0.9782676048941867,0.0,0.034
gdph,M2a,50,0.9401709401709402,0.9031339031339032,0.9717169494238156,0.6580927200072109,0.4547443768255611,0.7524509803921569,0.6412213740458014,0.0,0.9296874999999999,0.0,0.004
gdph,M2a,100,0.93993993993994,0.9085365853658537,0.9694233502917851,0.6537459935897436,0.5147009301693751,0.7154156366312983,0.6299212598425197,0.19817545849877094,0.8278183937274848,0.0,0.0
gdph,M2a,200,0.9421029281277729,0.9192628205128205,0.9638423806409417,0.6458041892824502,0.5727079047898913,0.6977168885905038,0.611111111111111,0.37181432038834944,0.7660020011435105,0.0,0.0
gdph,M2b,10,0.9363198366591508,0.3148229864069791,0.9946098517872711,0.6686046511627908,0.1736111111111111,0.9929828569239861,0.6702898550724636,-0.8792936882782313,1.6716101032217705,0.0,0.204
gdph,M2b,20,0.9041095890410958,0.6121060543230356,0.9945433361623561,0.7664333930293429,0.17652122641509435,0.9552941176470588,0.9708029197080293,-0.870082918739635,1.5625263584752636,0.0,0.072
gdph,M2b,30,0.893853920398243,0.6422346850733391,0.9890281353023529,0.7876626739316432,0.213379917184265,0.9521585595485426,1.037175234936429,-0.734587542087542,1.5601763907734056,0.0,0.034
gdph,M2b,50,0.8978721349472057,0.7459100566572238,0.9829314782439782,0.7788697788697788,0.3397405996296824,0.9092078877005347,1.0113925514688873,-0.34250000000000014,1.4053334672559261,0.0,0.004
gdph,M2b,100,0.8957045401082098,0.7801097531751737,0.9693251533742331,0.7812916666666667,0.5278448548812665,0.8876361299369011,1.0241935483870968,0.2312769010043042,1.3362258953168042,0.0,0.0
gdph,M2b,200,0.9028776978417267,0.8220514087361913,0.9575971731448764,0.7713414634146342,0.6435807617458994,0.8503434249133102,0.9818166790643856,0.5983473389355742,1.2361068111455107,0.0,0.0
gdph,M3,10,0.864679772647369,0.2686447555285048,0.9945945945945946,0.8294392523364486,0.1736111111111111,0.9929992320763349,1.1762939958592131,-0.8792936882782313,1.6811594202898552,0.0,0.0
gdph,M3,20,0.8879773058116531,0.5981789450741064,0.9945433361623561,0.7990610328638498,0.17652122641509435,0.956991755261445,1.0743504698728579,-0.870082918739635,1.573529411764706,0.0,0.0
